FOOD COMMODITY GROUP,FOOD COMMODITY TYPOLOGY,FOOD COMMODITY sub-TYPOLOGY,FOOD COMMODITY ITEM,carbon_mean,carbon_median,carbon_min,carbon_max,carbon_suggested_value,water_mean,water_median,water_min,water_max,water_suggested_value
CROPS,FRUIT OPENFIELD,"FRUIT OTHER (Excluded citrus, wild berries and olives) (SUBTYP)",ROCKMELON,0.39,0.39,0.39,0.39,TYPOLOGY,,,,,
CROPS,GRAINS,,RYE,0.41,0.38,0.36,0.49,TYPOLOGY,1554,1554,1554,1554,ok item
FISHING,FISH,,SALMON,3.8,3.37,1.11,8.88,ITEM,2550,2193,1929,3527,ok item
FISHING,FISH FROZEN,,SALMON (F),1.99,1.61,0.55,4.2,ITEM,,,,,
FISHING,FISH,,SARDINE,0.9,0.9,0.5,1.41,ITEM,,,,,
FISHING,FISH,,SEABASS,3.59,3.6,1.91,5.76,ITEM,5222,6524,1141,7721,ok item
CROPS,SEEDS,,SESAM SEED,0.88,0.88,0.88,0.88,TYPOLOGY,9371,9371,9371,9371,ok item
FISHING,FISH,,SHARK,10.09,11.44,7.28,11.56,TYPOLOGY,,,,,
AGRICULTURAL PROCESSED,BISCUITS,,SIMPLE COOKIES**,1.5,1.39,1.11,2.35,ITEM,1684,1724,1167,2502,ok item
ANIMAL HUSBANDRY,SNAILS*,,SNAILS*,0.73,0.73,0.73,0.73,ITEM matching with TYPOLOGY,,,,,
FISHING,FISH,,SOLE,5.4,5.4,3.35,7.45,TYPOLOGY,,,,,
FISHING,FISH FROZEN,,SOLE (F),14.28,14.28,7.7,20.86,TYPOLOGY,,,,,
CROPS,GRAINS,,SORGHUM,0.88,0.88,0.88,0.88,TYPOLOGY,3048,3048,3048,3048,ok item
AGRICULTURAL PROCESSED,GRAIN FLOUR,,SORGHUM FLOUR,1.33,1.33,1.33,1.33,TYPOLOGY,,,,,
AGRICULTURAL PROCESSED,VEGETAL PROTEINS,,SOY BURGER,1.48,1.48,1.48,1.48,TYPOLOGY,1053,1053,1053,1053,ok item
AGRICULTURAL PROCESSED,VEGETAL CREAM* (soy cream),,SOY CREAM*,1.62,1.62,1.62,1.62,ITEM matching with TYPOLOGY,,,,,
AGRICULTURAL PROCESSED,LEGUME FLOUR,,SOY MEAL,0.62,0.62,0.34,0.9,TYPOLOGY,,,,,
AGRICULTURAL PROCESSED,VEGETAL MILK,,SOY MILK,0.85,0.78,0.28,1.4,ITEM,2030,2030,297,3763,
